threshold,precision,recall,f1,accuracy,true_positive,true_negative,false_positive,false_negative
0.1,0.8562,0.9921,0.9191,0.8503,125,0,21,1
0.11,0.8562,0.9921,0.9191,0.8503,125,0,21,1
0.12,0.8562,0.9921,0.9191,0.8503,125,0,21,1
0.13,0.8621,0.9921,0.9225,0.8571,125,1,20,1
0.14,0.8621,0.9921,0.9225,0.8571,125,1,20,1
0.15,0.8621,0.9921,0.9225,0.8571,125,1,20,1
0.16,0.8621,0.9921,0.9225,0.8571,125,1,20,1
0.17,0.8621,0.9921,0.9225,0.8571,125,1,20,1
0.18,0.8601,0.9762,0.9145,0.8435,123,1,20,3
0.19,0.8601,0.9762,0.9145,0.8435,123,1,20,3
0.2,0.8601,0.9762,0.9145,0.8435,123,1,20,3
0.21,0.8582,0.9603,0.9064,0.8299,121,1,20,5
0.22,0.8582,0.9603,0.9064,0.8299,121,1,20,5
0.23,0.8561,0.9444,0.8981,0.8163,119,1,20,7
0.24,0.8561,0.9444,0.8981,0.8163,119,1,20,7
0.25,0.8561,0.9444,0.8981,0.8163,119,1,20,7
0.26,0.8561,0.9444,0.8981,0.8163,119,1,20,7
0.27,0.8561,0.9444,0.8981,0.8163,119,1,20,7
0.28,0.8561,0.9444,0.8981,0.8163,119,1,20,7
0.29,0.8561,0.9444,0.8981,0.8163,119,1,20,7
0.3,0.8561,0.9444,0.8981,0.8163,119,1,20,7
0.31,0.8551,0.9365,0.8939,0.8095,118,1,20,8
0.32,0.854,0.9286,0.8897,0.8027,117,1,20,9
0.33,0.8519,0.9127,0.8812,0.7891,115,1,20,11
0.34,0.8496,0.8968,0.8726,0.7755,113,1,20,13
0.35,0.8473,0.881,0.8638,0.7619,111,1,20,15
0.36,0.845,0.8651,0.8549,0.7483,109,1,20,17
0.37,0.845,0.8651,0.8549,0.7483,109,1,20,17
0.38,0.8583,0.8651,0.8617,0.7619,109,3,18,17
0.39,0.8548,0.8413,0.848,0.7415,106,3,18,20
0.4,0.8678,0.8333,0.8502,0.7483,105,5,16,21
0.41,0.8678,0.8333,0.8502,0.7483,105,5,16,21
0.42,0.8655,0.8175,0.8408,0.7347,103,5,16,23
0.43,0.8621,0.7937,0.8264,0.7143,100,5,16,26
0.44,0.8609,0.7857,0.8216,0.7075,99,5,16,27
0.45,0.8636,0.754,0.8051,0.6871,95,6,15,31
0.46,0.8762,0.7302,0.7965,0.6803,92,8,13,34
0.47,0.8738,0.7143,0.786,0.6667,90,8,13,36
0.48,0.8788,0.6905,0.7733,0.6531,87,9,12,39
0.49,0.8842,0.6667,0.7602,0.6395,84,10,11,42
0.5,0.8901,0.6429,0.7465,0.6259,81,11,10,45
0.51,0.9294,0.627,0.7488,0.6395,79,15,6,47
0.52,0.9268,0.6032,0.7308,0.619,76,15,6,50
0.53,0.9351,0.5714,0.7094,0.5986,72,16,5,54
0.54,0.9577,0.5397,0.6904,0.585,68,18,3,58
0.55,0.9552,0.5079,0.6632,0.5578,64,18,3,62
0.56,0.9672,0.4683,0.631,0.5306,59,19,2,67
0.57,1.0,0.4683,0.6378,0.5442,59,21,0,67
0.58,1.0,0.4286,0.6,0.5102,54,21,0,72
0.59,1.0,0.3889,0.56,0.4762,49,21,0,77
0.6,1.0,0.3571,0.5263,0.449,45,21,0,81
0.61,1.0,0.3333,0.5,0.4286,42,21,0,84
0.62,1.0,0.2778,0.4348,0.381,35,21,0,91
0.63,1.0,0.2619,0.4151,0.3673,33,21,0,93
0.64,1.0,0.2302,0.3742,0.3401,29,21,0,97
0.65,1.0,0.1984,0.3311,0.3129,25,21,0,101
0.66,1.0,0.1746,0.2973,0.2925,22,21,0,104
0.67,1.0,0.1508,0.2621,0.2721,19,21,0,107
0.68,1.0,0.1349,0.2378,0.2585,17,21,0,109
0.69,1.0,0.127,0.2254,0.2517,16,21,0,110
0.7,1.0,0.1111,0.2,0.2381,14,21,0,112
0.71,1.0,0.0873,0.1606,0.2177,11,21,0,115
0.72,1.0,0.0794,0.1471,0.2109,10,21,0,116
0.73,1.0,0.0714,0.1333,0.2041,9,21,0,117
0.74,1.0,0.0635,0.1194,0.1973,8,21,0,118
0.75,1.0,0.0476,0.0909,0.1837,6,21,0,120
0.76,1.0,0.0317,0.0615,0.1701,4,21,0,122
0.77,1.0,0.0159,0.0312,0.1565,2,21,0,124
0.78,1.0,0.0079,0.0157,0.1497,1,21,0,125
0.79,1.0,0.0079,0.0157,0.1497,1,21,0,125
0.8,1.0,0.0079,0.0157,0.1497,1,21,0,125
